text,lang_zh,subType,dir
animal ears,动物耳朵,普通,容貌/耳朵
fox ears,狐狸耳朵,普通,容貌/耳朵
cat ears,猫耳,普通,容貌/耳朵
dog ears,狗耳,普通,容貌/耳朵
mouse ears,老鼠耳朵,普通,容貌/耳朵
pointy ears,尖耳,普通,容貌/耳朵
heart earrings,心形耳环,普通,容貌/耳朵
hoop earrings,环状耳环,普通,容貌/耳朵
crystal earrings,水晶耳环,普通,容貌/耳朵
earrings,耳环,普通,容貌/耳朵
crescent earrings,月牙耳环,普通,容貌/耳朵
cat ear headphones,猫耳式耳机,普通,容貌/耳朵
bat ears,蝙蝠耳朵,普通,容貌/耳朵
raccoon ears,浣熊耳朵,普通,容貌/耳朵
long pointy ears,尖尖的长耳朵,普通,容貌/耳朵
covering ears,遮住耳朵,普通,容貌/耳朵
bear ears,熊耳朵,普通,容貌/耳朵
rabbit ears,兔子耳朵,普通,容貌/耳朵
cow ears,牛耳朵,普通,容貌/耳朵
deer ears,鹿耳朵,普通,容貌/耳朵
ferret ears,鼬耳朵,普通,容貌/耳朵
goat ears,山羊耳朵,普通,容貌/耳朵
horse ears,马耳,普通,容貌/耳朵
kemonomimi mode,兽耳萝莉模式,普通,容貌/耳朵
lion ears,狮子耳朵,普通,容貌/耳朵
monkey ears,猴耳,普通,容貌/耳朵
panda ears,熊猫耳朵,普通,容貌/耳朵
pikachu ears,皮卡丘耳朵,普通,容貌/耳朵
pig ears,猪耳朵,普通,容貌/耳朵
sheep ears,羊耳,普通,容貌/耳朵
squirrel ears,松鼠耳朵,普通,容貌/耳朵
tiger ears,虎耳,普通,容貌/耳朵
wolf ears,狼耳朵,普通,容貌/耳朵
fake animal ears,仿制的动物耳朵,普通,容貌/耳朵
