text,lang_zh,subType,dir
lens flare,镜头光晕,风格,构图/镜头
lens flare,镜头光晕,风格,构图/镜头
overexposure,过曝,风格,构图/镜头
bokeh,背景散焦,风格,构图/镜头
caustics,焦散,风格,构图/镜头
diffraction spikes,衍射十字星,风格,构图/镜头
foreshortening,正前缩距透视法,风格,构图/镜头
emphasis lines,集中线,风格,构图/镜头
satellite image,卫星鸟瞰,风格,构图/镜头
macro photo,微距照片,风格,构图/镜头
360 view,360 度视角,风格,构图/镜头
Wide-Angle,广角,风格,构图/镜头
Ultra-Wide Angle,超广角,风格,构图/镜头
Eye-Level Shot,人眼视角拍摄,风格,构图/镜头
Eye-Level Shot,人眼视角拍摄,风格,构图/镜头
f/1.2,光圈 F1.2,风格,构图/镜头
f/1.8,光圈 F1.8,风格,构图/镜头
f/2.8,光圈 F2.8,风格,构图/镜头
f/4.0,光圈 F4.0,风格,构图/镜头
f/16,光圈 F16,风格,构图/镜头
35mm,焦距 35mm,风格,构图/镜头
85mm,焦距 85mm,风格,构图/镜头
135mm,焦距 135mm,风格,构图/镜头
Nikon,尼康,风格,构图/镜头
Canon,佳能,风格,构图/镜头
Fujifilm,富士,风格,构图/镜头
Hasselblad,哈数,风格,构图/镜头
Sony FE,索尼镜头,风格,构图/镜头
Sony FE GM,索尼大师镜头,风格,构图/镜头
Sony FE GM,索尼大师镜头,风格,构图/镜头

